text,starred,source,structure_group
The entrances to the world-famous biology laboratory is visible from the street.,TRUE,agreementattraction,103
The entrances to the world-famous biology laboratories are visible from the street.,FALSE,agreementattraction,104
The tile used to cover the floor is from Morocco.,FALSE,agreementattraction,101
The tile used to cover the floors are from Morocco.,TRUE,agreementattraction,102
The tiles used to cover the floors is from Morocco.,TRUE,agreementattraction,103
The tiles used to cover the floors are from Morocco.,FALSE,agreementattraction,104
The guard employed for the arms-reduction treaty signing ceremony was from a neutral third country.,FALSE,agreementattraction,101
The guard employed for the arms-reduction treaty signing ceremonies were from a neutral third country.,TRUE,agreementattraction,102
The guards employed for the arms-reduction treaty signing ceremony was from a neutral third country.,TRUE,agreementattraction,103
The guards employed for the arms-reduction treaty signing ceremonies were from a neutral third country.,FALSE,agreementattraction,104
The actor hired to do the commercial is boring and uninspired.,FALSE,agreementattraction,101
The actor hired to do the commercials are boring and uninspired.,TRUE,agreementattraction,102
The actors hired to do the commercial is boring and uninspired.,TRUE,agreementattraction,103
The actors hired to do the commercials are boring and uninspired.,FALSE,agreementattraction,104
The computer installed in the missile is less powerful than your phone.,FALSE,agreementattraction,101
The computer installed in the missiles are less powerful than your phone.,TRUE,agreementattraction,102
The computers installed in the missile is less powerful than your phone.,TRUE,agreementattraction,103
The computers installed in the missile are less powerful than your phone.,FALSE,agreementattraction,104
The mechanic who repaired the limousine’s rear tire is in a feud with my cousin’s friend’s family.,FALSE,agreementattraction,101
The mechanic who repaired the limousine’s rear tires are in a feud with my cousin’s friend’s family.,TRUE,agreementattraction,102
The mechanics who repaired the limousine’s rear tire is in a feud with my cousin’s friend’s family.,TRUE,agreementattraction,103
The mechanics who repaired the limousine’s rear tires are in a feud with my cousin’s friend’s family.,FALSE,agreementattraction,104
The detective who solved the murder is at the door.,FALSE,agreementattraction,101
The detective who solved the murders are at the door.,TRUE,agreementattraction,102
The detectives who solved the murders is at the door.,TRUE,agreementattraction,103
The detectives who solved the murders are at the door.,FALSE,agreementattraction,104
The professor who criticized the new dean accepts the new era grudgingly.,FALSE,agreementattraction,101
The professor who criticized the new deans accept the new era grudgingly.,TRUE,agreementattraction,102
The professors who criticized the new dean accepts the new era grudgingly.,TRUE,agreementattraction,103
The professors who criticized the new deans accept the new era grudgingly.,FALSE,agreementattraction,104
The receptionist who greeted the distinguished visitor was fluent in Spanish..,FALSE,agreementattraction,101
The receptionist who greeted the distinguished visitors were fluent in Spanish.,TRUE,agreementattraction,102
The receptionists who greeted the distinguished visitor was fluent in Spanish.,TRUE,agreementattraction,103
The receptionists who greeted the distinguished visitors were fluent in Spanish.,FALSE,agreementattraction,104
The boy that liked the colorful garter snake hides motionless behind a tree.,FALSE,agreementattraction,101
The boy that liked the colorful garter snakes hide motionless behind a tree.,TRUE,agreementattraction,102
The boys that liked the colorful garter snake hides motionless behind a tree.,TRUE,agreementattraction,103
The boys that liked the colorful garter snakes hide motionless behind a tree.,FALSE,agreementattraction,104
The astronomer that discovered the most distant galaxy is now famous.,FALSE,agreementattraction,101
The astronomer that discovered the most distant galaxies are now famous.,TRUE,agreementattraction,102
The astronomers that discovered the most distant galaxy is now famous.,TRUE,agreementattraction,103
The astronomers that discovered the most distant galaxies are now famous.,FALSE,agreementattraction,104
The table that the student painted looks nice.,FALSE,agreementattraction,101
The table that the students painted look nice.,TRUE,agreementattraction,102
The tables that the student painted looks nice.,TRUE,agreementattraction,103
The tables that the students painted look nice.,FALSE,agreementattraction,104
The girl that the science teacher questioned was nervous.,FALSE,agreementattraction,101
The girl that the science teachers questioned were nervous.,TRUE,agreementattraction,102
The girls that the science teacher questioned was nervous.,TRUE,agreementattraction,103
The girls that the science teachers questioned were nervous.,FALSE,agreementattraction,104
The soldier that the battalion’s senior officer accused was innocent.,FALSE,agreementattraction,101
The soldier that the battalion’s senior officers accused were innocent.,TRUE,agreementattraction,102
The soldiers that the battalion’s senior officer accused was innocent.,TRUE,agreementattraction,103
The soldiers that the battalion’s senior officers accused were innocent.,FALSE,agreementattraction,104
The policy that the governor recommended was hugely unpopular.,FALSE,agreementattraction,101
The policy that the governors recommended were hugely unpopular.,TRUE,agreementattraction,102
The polices that the governor recommended was hugely unpopular.,TRUE,agreementattraction,103
The policies that the governors recommended were hugely unpopular.,FALSE,agreementattraction,104
The dog that chased the truck is very muddy.,FALSE,agreementattraction,101
The dog that chased the trucks are very muddy.,TRUE,agreementattraction,102
The dogs that chased the truck is very muddy.,TRUE,agreementattraction,103
The dogs that chased the trucks are very muddy.,FALSE,agreementattraction,104
